,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.,Copper_Price,Copper_Vol.,Bitcoin_Price,Bitcoin_Vol.,Platinum_Price,Platinum_Vol.,Ethereum_Price,Ethereum_Vol.,S&P_500_Price,Nasdaq_100_Price,Nasdaq_100_Vol.,Apple_Price,Apple_Vol.,Tesla_Price,Tesla_Vol.,Microsoft_Price,Microsoft_Vol.,Silver_Price,Silver_Vol.,Google_Price,Google_Vol.,Nvidia_Price,Nvidia_Vol.,Berkshire_Price,Berkshire_Vol.,Netflix_Price,Netflix_Vol.,Amazon_Price,Amazon_Vol.,Meta_Price,Meta_Vol.,Gold_Price,Gold_Vol.
"0,02-02-2024,2.079,,72.28,,3.8215,,""43,194.70"",42650.0,901.6,,""2,309.28"",246890.0,""4,958.61"",""17,642.73"",315620000.0,185.85,102550000.0,187.91,110610000.0,411.22,28260000.0,22.796,,142.38,62500000.0,661.6,47660000.0,""5,89,498"",10580.0,564.64,4030000.0000000005,171.81,117220000.0,474.99,84710000.0,""2,053.70"","
"1,01-02-2024,2.05,161340.0,73.82,577940.0,3.8535,,""43,081.40"",47690.0,922.3,,""2,304.28"",323610.0,""4,906.19"",""17,344.71"",240640000.0,186.86,53490000.0,188.86,90680000.0,403.78,29230000.0,23.236,85160.0,141.16,37120000.0,630.27,36020000.0,""5,81,600"",9780.0,567.51,3150000.0,159.28,66360000.0,394.78,25140000.0,""2,071.10"",260920.00000000003"
"2,31-01-2024,2.1,142860.0,75.85,344490.0,3.906,,""42,580.50"",56480.0,932.6,,""2,283.14"",408790.0,""4,848.87"",""17,137.24"",366450000.0,184.4,54830000.0,187.29,102270000.0,397.58,46780000.0,23.169,66910.0,140.1,71370000.0,615.27,45070000.0,""5,78,020"",9720.0,564.11,4830000.0,155.2,49690000.0,390.14,20010000.0,""2,067.40"",238370.0"
"3,30-01-2024,2.077,139750.0,77.82,347240.0,3.911,,""42,946.20"",55130.0,931.7,,""2,343.11"",387120.0,""4,924.97"",""17,476.71"",236210000.0,188.04,55270000.0,191.59,105540000.0,408.59,29340000.0,23.225,53370.0,151.46,33060000.000000004,627.74,39600000.0,""5,84,680"",9750.0,562.85,6120000.0,159.0,42290000.0,400.06,18610000.0,""2,050.90"",214590.0"
"4,29-01-2024,2.49,3590.0,76.78,331930.0,3.879,,""43,299.80"",45230.0,938.3,,""2,317.79"",318840.0,""4,927.93"",""17,596.27"",238750000.0,191.73,46890000.0,190.93,123600000.0,409.72,23290000.0,23.134,330.0,153.51,27590000.0,624.65,33900000.0,""5,78,800"",13850.0,575.79,6880000.0,161.26,42840000.0,401.02,17790000.0,""2,034.90"",1780.0"
"5,26-01-2024,2.712,73020.0,78.01,365460.0,3.852,,""41,811.30"",69470.0,921.3,,""2,267.55"",377790.0,""4,890.97"",""17,421.01"",252940000.0,192.42,44590000.0,183.25,107340000.0,403.93,17800000.0,22.758,330.0,152.18,26120000.0,610.31,39030000.0,""5,82,300"",10040.0,570.42,12770000.0,159.12,51050000.0,394.14,13160000.0,""2,026.60"",410.0"
"6,25-01-2024,2.571,44980.0,77.36,320180.0,3.869,,""39,935.70"",46300.0,894.5,,""2,217.71"",344110.0,""4,894.16"",""17,516.99"",288830000.0,194.17,54530000.0,182.63,198080000.0,404.87,20550000.0,22.814,160.0,151.87,28930000.0,616.17,47310000.0,""5,76,211"",9350.0,562.0,9450000.0,157.75,43310000.0,393.18,15090000.0,""2,027.10"",460.0"
"7,24-01-2024,2.641,65500.0,75.09,323730.0,3.886,,""40,086.00"",58640.0,914.9,,""2,234.64"",373250.0,""4,868.55"",""17,499.30"",259360000.0,194.5,53460000.0,207.83,112940000.0,402.56,23280000.0,22.769,640.0,148.7,25160000.0,613.62,55710000.0,""5,70,977"",9560.0,544.87,26350000.0,156.87,47640000.0,390.7,15700000.0,""2,025.40"",800.0"
"8,23-01-2024,2.45,69160.0,74.37,306060.0,3.7935,,""39,888.80"",82670.0,905.5,,""2,243.74"",750520.0,""4,864.60"",""17,404.21"",199930000.0,195.18,42200000.0,209.14,105840000.0,398.9,18230000.0,22.354,210.0,147.04,21190000.0,598.73,29120000.0,""5,64,133"",8640.0,492.19,14190000.0,156.02,34930000.0,385.2,15450000.0,""2,035.20"",370.0"
"9,22-01-2024,2.419,121580.0,75.19,28910.0,3.7635,,""39,556.40"",85100.0,903,,""2,313.64"",560840.0,""4,850.43"",""17,330.38"",257760000.0,193.89,60130000.0,208.8,117950000.0,396.51,27020000.0,22.183,910.0,145.99,32200000.000000004,596.54,45300000.0,""5,58,316"",11600.0,485.71,5210000.0,154.78,43690000.0,381.78,17490000.0,""2,031.50"",330.0"
"10,19-01-2024,2.519,138430.0,73.41,78230.0,3.7865,,""41,648.00"",72640.0,907,,""2,491.81"",443420.0,""4,839.81"",""17,314.01"",327070000.0,191.56,68900000.0,212.19,102260000.0,398.67,29330000.0,22.601,150.0,146.38,34270000.0,594.91,54350000.0,""5,56,710"",8830.0,482.95,5670000.0,155.34,51650000.0,383.45,21670000.0,""2,038.50"",300.0"
"11,18-01-2024,2.697,151820.0,74.08,86650.0,3.745,,""41,292.70"",70350.0,912,,""2,469.77"",467220.0,""4,780.94"",""16,982.29"",264339999.99999997,188.63,77400000.0,211.88,107810000.0,393.87,21980000.0,22.699,240.0,143.48,25690000.0,571.07,48620000.0,""5,49,477"",7820.0,485.31,4019999.9999999995,153.5,37350000.0,376.13,15930000.0,""2,031.10"",350.0"
"12,17-01-2024,2.87,150330.0,72.56,315680.0,3.733,,""42,768.70"",50440.0,889.6,,""2,531.26"",380900.0,""4,739.21"",""16,736.28"",217620000.0,182.68,47190000.0,215.55,102580000.0,389.47,20260000.0,22.559,240.0,141.47,20940000.0,560.53,47250000.0,""5,45,250"",8360.0,480.33,4880000.0,151.71,34350000.0,368.37,12660000.0,""2,015.90"",180.0"
"13,16-01-2024,2.9,228160.0,72.4,430440.0,3.7665,,""43,145.50"",63930.0,904.4,,""2,588.64"",395070.0,""4,762.85"",""16,830.71"",247750000.0,183.63,65440000.0,219.91,114850000.0,390.27,26920000.0,22.983,180.0,142.49,22630000.0,563.82,44150000.0,""5,47,520"",11870.0,481.24,4670000.0,153.16,40060000.0,367.46,15260000.0,""2,039.70"",480.0"
"14,12-01-2024,3.313,265880.0,72.68,403640.0,3.7405,,""42,835.90"",136920.0,921.1,,""2,523.98"",931960.0,""4,783.83"",""16,832.92"",189670000.0,185.92,40480000.0,218.89,123040000.0,388.47,21660000.0,23.218,510.0,142.65,18790000.0,547.1,35300000.0,""5,51,800"",8119.999999999999,492.16,5000000.0,154.62,40480000.0,374.49,19310000.0,""2,061.10"",560.0"
"15,11-01-2024,3.097,235030.0,72.02,373650.0,3.7765,,""46,348.20"",131039.99999999999,919.6,,""2,618.08"",889360.0,""4,780.24"",""16,820.90"",219920000.0,185.59,49130000.0,227.22,105870000.0,384.63,27850000.0,22.595,230.0,142.08,24010000.0,548.22,59680000.0,""5,51,695"",8290.0,492.23,7990000.0,155.18,49070000.0,369.67,16890000.0,""2,028.90"",360.0"
"16,10-01-2024,3.039,258010.0,71.37,352770.0,3.781,,""46,629.30"",131480.0,929.6,,""2,581.79"",1120000.0,""4,783.45"",""16,793.04"",209800000.0,186.19,45900000.0,233.94,91320000.0,382.77,25170000.0,22.956,80.0,142.28,21120000.0,543.5,52810000.0,""5,57,590"",7970.0,478.33,4260000.0,153.73,43810000.0,370.47,22020000.0,""2,037.50"",130.0"
"17,09-01-2024,3.19,351780.0,72.24,363450.0,3.7585,,""46,129.00"",100090.0,943.5,,""2,344.67"",588190.0,""4,756.50"",""16,678.70"",224480000.0,185.14,42840000.0,234.96,96710000.0,375.79,20830000.0,23.091,,140.95,24760000.0,531.4,77310000.0,""5,56,500"",7840.0,482.09,3530000.0,151.37,43810000.0,357.43,13340000.0,""2,033.00"",218750.0"
